n_bits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
132,-1,-0.3333333333,-0.1363636364,-0.06060606061,-0.01515151515,0.01515151515,0.0303030303,0.0303030303,0.04545454545,0.06060606061,0.09090909091,0.1060606061,0.1212121212,0.1212121212,0.1363636364,0.1515151515,0.1818181818,0.196969697,0.196969697,0.2121212121,0.2272727273,0.2424242424,0.2424242424,0.2575757576,0.2575757576,0.2727272727,0.2878787879,0.2878787879,0.303030303,0.3333333333,0.3484848485,0.3636363636,0.3636363636,0.3787878788,0.3787878788,0.3939393939,0.3939393939,0.4090909091,0.4090909091,0.4242424242,0.4393939394,0.4393939394,0.4545454545,0.4545454545,0.4696969697,0.4696969697,0.4848484848,0.5,0.5,0.5,0.5151515152,0.5303030303,0.5303030303,0.5454545455,0.5454545455,0.5606060606,0.5606060606,0.5606060606,0.5757575758,0.5757575758,0.5757575758,0.5757575758,0.5757575758,0.5909090909,0.6060606061,0.6060606061,0.6060606061,0.6363636364,0.6363636364,0.6363636364,0.6363636364,0.6515151515,0.6666666667,0.6666666667,0.696969697,0.696969697,0.696969697,0.696969697,0.7121212121,0.7121212121,0.7121212121,0.7272727273,0.7272727273,0.7424242424,0.7424242424,0.7424242424,0.7575757576,0.7575757576,0.7575757576,0.7727272727,0.7878787879,0.7878787879,0.7878787879,0.7878787879,0.803030303,0.8181818182,0.8181818182,0.8181818182,0.8181818182,0.8333333333,0.8333333333,0.8333333333,0.8484848485,0.8636363636,0.8636363636,0.8636363636,0.8636363636,0.8787878788,0.8787878788,0.8787878788,0.8939393939,0.8939393939,0.9090909091,0.9090909091,0.9090909091,0.9090909091,0.9090909091,0.9393939394,0.9393939394,0.9393939394,0.9393939394,0.9393939394,0.9393939394,0.9545454545,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9848484848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,-1,-0.3233082707,-0.1428571429,-0.05263157895,-0.02255639098,0.007518796992,0.03759398496,0.03759398496,0.03759398496,0.06766917293,0.08270676692,0.1127819549,0.1278195489,0.1278195489,0.1278195489,0.1578947368,0.1879699248,0.1879699248,0.2030075188,0.2030075188,0.2330827068,0.2330827068,0.2481203008,0.2481203008,0.2631578947,0.2631578947,0.2781954887,0.2932330827,0.2932330827,0.3233082707,0.3383458647,0.3533834586,0.3684210526,0.3684210526,0.3834586466,0.3834586466,0.3984962406,0.3984962406,0.4135338346,0.4285714286,0.4285714286,0.4436090226,0.4436090226,0.4586466165,0.4586466165,0.4736842105,0.4736842105,0.4887218045,0.5037593985,0.5037593985,0.5037593985,0.5187969925,0.5338345865,0.5338345865,0.5488721805,0.5488721805,0.5639097744,0.5639097744,0.5639097744,0.5789473684,0.5789473684,0.5789473684,0.5789473684,0.5789473684,0.5939849624,0.6090225564,0.6090225564,0.6090225564,0.6390977444,0.6390977444,0.6390977444,0.6541353383,0.6691729323,0.6691729323,0.6691729323,0.6992481203,0.6992481203,0.6992481203,0.6992481203,0.7142857143,0.7142857143,0.7142857143,0.7293233083,0.7443609023,0.7443609023,0.7443609023,0.7443609023,0.7593984962,0.7593984962,0.7593984962,0.7894736842,0.7894736842,0.7894736842,0.7894736842,0.7894736842,0.8045112782,0.8195488722,0.8195488722,0.8195488722,0.8195488722,0.8345864662,0.8345864662,0.8345864662,0.8496240602,0.8646616541,0.8646616541,0.8646616541,0.8646616541,0.8796992481,0.8796992481,0.8796992481,0.8947368421,0.8947368421,0.9097744361,0.9097744361,0.9097744361,0.9097744361,0.9097744361,0.9398496241,0.9398496241,0.9398496241,0.9398496241,0.9398496241,0.9398496241,0.954887218,0.969924812,0.969924812,0.969924812,0.969924812,0.969924812,0.969924812,0.969924812,0.984962406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,-1,-0.328358209,-0.1343283582,-0.05970149254,-0.01492537313,0.01492537313,0.02985074627,0.0447761194,0.0447761194,0.05970149254,0.07462686567,0.1044776119,0.1194029851,0.1343283582,0.1343283582,0.1641791045,0.1791044776,0.1940298507,0.1940298507,0.2089552239,0.223880597,0.2388059701,0.2388059701,0.2537313433,0.2537313433,0.2686567164,0.2835820896,0.2835820896,0.2985074627,0.3134328358,0.3432835821,0.3432835821,0.3582089552,0.3731343284,0.3731343284,0.3880597015,0.3880597015,0.4029850746,0.4029850746,0.4179104478,0.4328358209,0.4328358209,0.447761194,0.447761194,0.4626865672,0.4626865672,0.4776119403,0.4776119403,0.4925373134,0.5074626866,0.5074626866,0.5074626866,0.5223880597,0.5373134328,0.5373134328,0.552238806,0.5671641791,0.5671641791,0.5671641791,0.5671641791,0.5820895522,0.5820895522,0.5820895522,0.5820895522,0.5820895522,0.5970149254,0.6119402985,0.6119402985,0.6119402985,0.6417910448,0.6417910448,0.6417910448,0.6567164179,0.671641791,0.671641791,0.671641791,0.7014925373,0.7014925373,0.7014925373,0.7014925373,0.7164179104,0.7164179104,0.7164179104,0.7313432836,0.7462686567,0.7462686567,0.7462686567,0.7611940299,0.7611940299,0.7611940299,0.7611940299,0.7910447761,0.7910447761,0.7910447761,0.7910447761,0.7910447761,0.8059701493,0.8208955224,0.8208955224,0.8208955224,0.8208955224,0.8358208955,0.8358208955,0.8358208955,0.8507462687,0.8656716418,0.8656716418,0.8656716418,0.8656716418,0.8805970149,0.8805970149,0.8805970149,0.8955223881,0.8955223881,0.9104477612,0.9104477612,0.9104477612,0.9104477612,0.9104477612,0.9402985075,0.9402985075,0.9402985075,0.9402985075,0.9402985075,0.9402985075,0.9552238806,0.9701492537,0.9701492537,0.9701492537,0.9701492537,0.9701492537,0.9701492537,0.9701492537,0.9850746269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,-1,-0.3333333333,-0.1259259259,-0.06666666667,-0.007407407407,0.007407407407,0.02222222222,0.03703703704,0.05185185185,0.05185185185,0.08148148148,0.0962962963,0.1111111111,0.1259259259,0.1407407407,0.1555555556,0.1851851852,0.1851851852,0.2,0.2,0.2148148148,0.2296296296,0.2444444444,0.2444444444,0.2592592593,0.2592592593,0.2740740741,0.2888888889,0.2888888889,0.3185185185,0.3481481481,0.3481481481,0.3481481481,0.362962963,0.3777777778,0.3777777778,0.3925925926,0.3925925926,0.4074074074,0.4074074074,0.4222222222,0.437037037,0.437037037,0.4518518519,0.4518518519,0.4666666667,0.4666666667,0.4814814815,0.4814814815,0.4962962963,0.5111111111,0.5111111111,0.5259259259,0.5259259259,0.5407407407,0.5407407407,0.5555555556,0.5703703704,0.5703703704,0.5703703704,0.5703703704,0.5851851852,0.5851851852,0.5851851852,0.5851851852,0.5851851852,0.6,0.6148148148,0.6148148148,0.6296296296,0.6444444444,0.6444444444,0.6444444444,0.6592592593,0.6740740741,0.6740740741,0.6740740741,0.7037037037,0.7037037037,0.7037037037,0.7037037037,0.7185185185,0.7185185185,0.7185185185,0.7333333333,0.7481481481,0.7481481481,0.7481481481,0.762962963,0.762962963,0.762962963,0.762962963,0.7925925926,0.7925925926,0.7925925926,0.7925925926,0.7925925926,0.8074074074,0.8222222222,0.8222222222,0.8222222222,0.837037037,0.837037037,0.837037037,0.837037037,0.8518518519,0.8666666667,0.8666666667,0.8666666667,0.8666666667,0.8814814815,0.8814814815,0.8814814815,0.8962962963,0.8962962963,0.9111111111,0.9111111111,0.9111111111,0.9111111111,0.9111111111,0.9407407407,0.9407407407,0.9407407407,0.9407407407,0.9407407407,0.9407407407,0.9555555556,0.9703703704,0.9703703704,0.9703703704,0.9703703704,0.9703703704,0.9703703704,0.9703703704,0.9851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,-1,-0.3235294118,-0.1323529412,-0.05882352941,-0.01470588235,0,0.02941176471,0.02941176471,0.05882352941,0.05882352941,0.07352941176,0.1029411765,0.1176470588,0.1176470588,0.1323529412,0.1470588235,0.1764705882,0.1911764706,0.1911764706,0.2058823529,0.2205882353,0.2352941176,0.25,0.25,0.25,0.2647058824,0.2794117647,0.2794117647,0.2941176471,0.3088235294,0.3235294118,0.3529411765,0.3529411765,0.3676470588,0.3676470588,0.3823529412,0.3970588235,0.3970588235,0.4117647059,0.4117647059,0.4264705882,0.4264705882,0.4411764706,0.4558823529,0.4558823529,0.4558823529,0.4705882353,0.4852941176,0.4852941176,0.4852941176,0.5147058824,0.5147058824,0.5147058824,0.5294117647,0.5441176471,0.5441176471,0.5441176471,0.5588235294,0.5735294118,0.5735294118,0.5735294118,0.5735294118,0.5882352941,0.5882352941,0.5882352941,0.5882352941,0.6029411765,0.6029411765,0.6176470588,0.6176470588,0.6323529412,0.6470588235,0.6470588235,0.6470588235,0.6617647059,0.6764705882,0.6764705882,0.6764705882,0.7058823529,0.7058823529,0.7058823529,0.7058823529,0.7205882353,0.7205882353,0.7205882353,0.7352941176,0.75,0.75,0.75,0.7647058824,0.7647058824,0.7647058824,0.7794117647,0.7941176471,0.7941176471,0.7941176471,0.7941176471,0.7941176471,0.8088235294,0.8235294118,0.8235294118,0.8235294118,0.8382352941,0.8382352941,0.8382352941,0.8382352941,0.8529411765,0.8676470588,0.8676470588,0.8676470588,0.8676470588,0.8823529412,0.8823529412,0.8823529412,0.8970588235,0.8970588235,0.9117647059,0.9117647059,0.9117647059,0.9117647059,0.9117647059,0.9411764706,0.9411764706,0.9411764706,0.9411764706,0.9411764706,0.9411764706,0.9558823529,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9852941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,-1,-0.3284671533,-0.1386861314,-0.05109489051,-0.02189781022,0.007299270073,0.02189781022,0.03649635036,0.06569343066,0.06569343066,0.06569343066,0.09489051095,0.1240875912,0.1240875912,0.1240875912,0.1532846715,0.1824817518,0.197080292,0.197080292,0.197080292,0.2262773723,0.2262773723,0.2408759124,0.2554744526,0.2554744526,0.2700729927,0.2700729927,0.2846715328,0.2846715328,0.299270073,0.3284671533,0.3430656934,0.3576642336,0.3576642336,0.3722627737,0.3868613139,0.401459854,0.401459854,0.401459854,0.4160583942,0.4160583942,0.4306569343,0.4306569343,0.4452554745,0.4598540146,0.4598540146,0.4598540146,0.4744525547,0.4890510949,0.4890510949,0.503649635,0.5182481752,0.5182481752,0.5182481752,0.5328467153,0.5474452555,0.5474452555,0.5620437956,0.5620437956,0.5766423358,0.5766423358,0.5766423358,0.5912408759,0.5912408759,0.5912408759,0.5912408759,0.5912408759,0.6058394161,0.6204379562,0.6204379562,0.6204379562,0.6496350365,0.6496350365,0.6496350365,0.6496350365,0.6788321168,0.6788321168,0.6788321168,0.6934306569,0.7080291971,0.7080291971,0.7080291971,0.7080291971,0.7226277372,0.7226277372,0.7372262774,0.7372262774,0.7518248175,0.7518248175,0.7518248175,0.7664233577,0.7664233577,0.7664233577,0.7810218978,0.795620438,0.795620438,0.795620438,0.795620438,0.795620438,0.8248175182,0.8248175182,0.8248175182,0.8248175182,0.8394160584,0.8394160584,0.8394160584,0.8540145985,0.8540145985,0.8686131387,0.8686131387,0.8686131387,0.8686131387,0.8832116788,0.8832116788,0.8832116788,0.897810219,0.897810219,0.9124087591,0.9124087591,0.9124087591,0.9124087591,0.9124087591,0.9416058394,0.9416058394,0.9416058394,0.9416058394,0.9416058394,0.9416058394,0.9562043796,0.9708029197,0.9708029197,0.9708029197,0.9708029197,0.9708029197,0.9708029197,0.9708029197,0.9854014599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,-1,-0.3333333333,-0.1304347826,-0.04347826087,-0.01449275362,0.01449275362,0.01449275362,0.04347826087,0.07246376812,0.07246376812,0.07246376812,0.08695652174,0.1014492754,0.1304347826,0.1304347826,0.1594202899,0.1739130435,0.1884057971,0.2028985507,0.2028985507,0.2173913043,0.231884058,0.2463768116,0.2463768116,0.2608695652,0.2608695652,0.2753623188,0.2753623188,0.2898550725,0.3043478261,0.3333333333,0.3333333333,0.347826087,0.3623188406,0.3623188406,0.3768115942,0.3913043478,0.4057971014,0.4057971014,0.4057971014,0.4202898551,0.4202898551,0.4347826087,0.4492753623,0.4492753623,0.4637681159,0.4637681159,0.4782608696,0.4782608696,0.4927536232,0.5072463768,0.5072463768,0.5217391304,0.5217391304,0.5217391304,0.5362318841,0.5507246377,0.5507246377,0.5652173913,0.5652173913,0.5797101449,0.5797101449,0.5797101449,0.5942028986,0.5942028986,0.5942028986,0.5942028986,0.5942028986,0.6231884058,0.6231884058,0.6231884058,0.652173913,0.652173913,0.652173913,0.652173913,0.652173913,0.6811594203,0.6811594203,0.6811594203,0.6956521739,0.7101449275,0.7101449275,0.7101449275,0.7101449275,0.7246376812,0.7246376812,0.7391304348,0.7391304348,0.7536231884,0.7536231884,0.7536231884,0.768115942,0.768115942,0.768115942,0.7826086957,0.7971014493,0.7971014493,0.7971014493,0.7971014493,0.7971014493,0.8260869565,0.8260869565,0.8260869565,0.8260869565,0.8405797101,0.8405797101,0.8405797101,0.8550724638,0.8550724638,0.8695652174,0.8695652174,0.8695652174,0.8695652174,0.884057971,0.884057971,0.884057971,0.8985507246,0.8985507246,0.9130434783,0.9130434783,0.9130434783,0.9130434783,0.9130434783,0.9420289855,0.9420289855,0.9420289855,0.9420289855,0.9420289855,0.9420289855,0.9565217391,0.9710144928,0.9710144928,0.9710144928,0.9710144928,0.9710144928,0.9710144928,0.9710144928,0.9855072464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,-1,-0.3237410072,-0.1366906475,-0.05035971223,-0.02158273381,0.007194244604,0.02158273381,0.03597122302,0.05035971223,0.07913669065,0.07913669065,0.07913669065,0.1079136691,0.1223021583,0.1366906475,0.1654676259,0.1654676259,0.1798561151,0.1942446043,0.2086330935,0.2086330935,0.2230215827,0.2517985612,0.2517985612,0.2517985612,0.2661870504,0.2661870504,0.2805755396,0.2805755396,0.309352518,0.3237410072,0.3381294964,0.3381294964,0.3525179856,0.3669064748,0.3669064748,0.3956834532,0.3956834532,0.4100719424,0.4100719424,0.4100719424,0.4244604317,0.4244604317,0.4532374101,0.4532374101,0.4532374101,0.4676258993,0.4676258993,0.4820143885,0.4820143885,0.5107913669,0.5107913669,0.5107913669,0.5251798561,0.5251798561,0.5251798561,0.5395683453,0.5539568345,0.5539568345,0.5683453237,0.5683453237,0.5827338129,0.5827338129,0.5827338129,0.5971223022,0.5971223022,0.5971223022,0.5971223022,0.6258992806,0.6258992806,0.6258992806,0.6402877698,0.654676259,0.654676259,0.654676259,0.654676259,0.654676259,0.6834532374,0.6834532374,0.6834532374,0.6978417266,0.7122302158,0.7122302158,0.7122302158,0.7122302158,0.726618705,0.726618705,0.7410071942,0.7410071942,0.7553956835,0.7553956835,0.7553956835,0.7697841727,0.7697841727,0.7697841727,0.7841726619,0.7985611511,0.7985611511,0.7985611511,0.7985611511,0.7985611511,0.8273381295,0.8273381295,0.8273381295,0.8273381295,0.8417266187,0.8417266187,0.8417266187,0.8561151079,0.8561151079,0.8705035971,0.8705035971,0.8705035971,0.8705035971,0.8848920863,0.8848920863,0.8848920863,0.8992805755,0.8992805755,0.9136690647,0.9136690647,0.9136690647,0.9136690647,0.9136690647,0.9424460432,0.9424460432,0.9424460432,0.9424460432,0.9424460432,0.9424460432,0.9568345324,0.9712230216,0.9712230216,0.9712230216,0.9712230216,0.9712230216,0.9712230216,0.9712230216,0.9856115108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,-1,-0.3285714286,-0.1428571429,-0.05714285714,-0.02857142857,0,0.02857142857,0.02857142857,0.05714285714,0.07142857143,0.08571428571,0.08571428571,0.1,0.1142857143,0.1285714286,0.1571428571,0.1714285714,0.1857142857,0.1857142857,0.2,0.2142857143,0.2285714286,0.2571428571,0.2571428571,0.2571428571,0.2714285714,0.2714285714,0.2857142857,0.2857142857,0.3142857143,0.3142857143,0.3428571429,0.3428571429,0.3571428571,0.3571428571,0.3714285714,0.4,0.4,0.4,0.4142857143,0.4142857143,0.4142857143,0.4285714286,0.4428571429,0.4571428571,0.4571428571,0.4714285714,0.4714285714,0.4714285714,0.4857142857,0.5,0.5142857143,0.5142857143,0.5142857143,0.5285714286,0.5285714286,0.5285714286,0.5428571429,0.5571428571,0.5571428571,0.5714285714,0.5714285714,0.5857142857,0.5857142857,0.5857142857,0.6,0.6,0.6,0.6,0.6285714286,0.6285714286,0.6285714286,0.6428571429,0.6571428571,0.6571428571,0.6571428571,0.6571428571,0.6571428571,0.6857142857,0.6857142857,0.6857142857,0.7142857143,0.7142857143,0.7142857143,0.7142857143,0.7285714286,0.7285714286,0.7285714286,0.7428571429,0.7428571429,0.7571428571,0.7571428571,0.7571428571,0.7714285714,0.7714285714,0.7714285714,0.7857142857,0.8,0.8,0.8,0.8,0.8,0.8285714286,0.8285714286,0.8285714286,0.8285714286,0.8428571429,0.8428571429,0.8428571429,0.8571428571,0.8571428571,0.8714285714,0.8714285714,0.8714285714,0.8714285714,0.8857142857,0.8857142857,0.8857142857,0.9,0.9,0.9142857143,0.9142857143,0.9142857143,0.9142857143,0.9142857143,0.9428571429,0.9428571429,0.9428571429,0.9428571429,0.9428571429,0.9428571429,0.9571428571,0.9714285714,0.9714285714,0.9714285714,0.9714285714,0.9714285714,0.9714285714,0.9714285714,0.9857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,-1,-0.3333333333,-0.134751773,-0.04964539007,-0.02127659574,0.007092198582,0.02127659574,0.03546099291,0.06382978723,0.0780141844,0.0780141844,0.09219858156,0.1063829787,0.1205673759,0.1205673759,0.1631205674,0.1773049645,0.1773049645,0.1914893617,0.2056737589,0.219858156,0.219858156,0.2340425532,0.2624113475,0.2624113475,0.2624113475,0.2765957447,0.2765957447,0.2907801418,0.3191489362,0.3191489362,0.3191489362,0.3475177305,0.3475177305,0.3617021277,0.3758865248,0.390070922,0.4042553191,0.4042553191,0.4042553191,0.4184397163,0.4184397163,0.4184397163,0.4468085106,0.4609929078,0.4609929078,0.4609929078,0.475177305,0.475177305,0.475177305,0.4893617021,0.5035460993,0.5177304965,0.5177304965,0.5177304965,0.5319148936,0.5319148936,0.5460992908,0.5460992908,0.5602836879,0.5602836879,0.5744680851,0.5744680851,0.5886524823,0.5886524823,0.5886524823,0.6028368794,0.6028368794,0.6028368794,0.6170212766,0.6312056738,0.6312056738,0.6312056738,0.6453900709,0.6595744681,0.6595744681,0.6595744681,0.6595744681,0.6879432624,0.6879432624,0.6879432624,0.6879432624,0.7163120567,0.7163120567,0.7163120567,0.7163120567,0.7304964539,0.7304964539,0.7304964539,0.7446808511,0.7446808511,0.7588652482,0.7588652482,0.7588652482,0.7730496454,0.7730496454,0.7730496454,0.7872340426,0.8014184397,0.8014184397,0.8014184397,0.8014184397,0.8014184397,0.829787234,0.829787234,0.829787234,0.829787234,0.8439716312,0.8439716312,0.8439716312,0.8581560284,0.8581560284,0.8723404255,0.8723404255,0.8723404255,0.8723404255,0.8865248227,0.8865248227,0.8865248227,0.9007092199,0.9007092199,0.914893617,0.914893617,0.914893617,0.914893617,0.914893617,0.9432624113,0.9432624113,0.9432624113,0.9432624113,0.9432624113,0.9432624113,0.9574468085,0.9716312057,0.9716312057,0.9716312057,0.9716312057,0.9716312057,0.9716312057,0.9716312057,0.9858156028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,-1,-0.323943662,-0.1267605634,-0.05633802817,-0.01408450704,0,0.01408450704,0.04225352113,0.04225352113,0.07042253521,0.08450704225,0.0985915493,0.0985915493,0.1267605634,0.1267605634,0.1549295775,0.1690140845,0.1830985915,0.1830985915,0.1971830986,0.2112676056,0.2253521127,0.2394366197,0.2394366197,0.2676056338,0.2676056338,0.2676056338,0.2816901408,0.2816901408,0.323943662,0.323943662,0.323943662,0.338028169,0.3521126761,0.3521126761,0.3661971831,0.3802816901,0.4084507042,0.4084507042,0.4084507042,0.4225352113,0.4225352113,0.4225352113,0.4366197183,0.4507042254,0.4647887324,0.4647887324,0.4647887324,0.4788732394,0.4788732394,0.4788732394,0.4929577465,0.5070422535,0.5211267606,0.5211267606,0.5211267606,0.5352112676,0.5492957746,0.5492957746,0.5492957746,0.5633802817,0.5633802817,0.5774647887,0.5774647887,0.5915492958,0.5915492958,0.5915492958,0.6056338028,0.6056338028,0.6056338028,0.6197183099,0.6338028169,0.6338028169,0.6338028169,0.6478873239,0.661971831,0.661971831,0.661971831,0.661971831,0.6901408451,0.6901408451,0.6901408451,0.6901408451,0.7183098592,0.7183098592,0.7183098592,0.7183098592,0.7323943662,0.7323943662,0.7323943662,0.7464788732,0.7464788732,0.7605633803,0.7605633803,0.7605633803,0.7746478873,0.7746478873,0.7746478873,0.7887323944,0.8028169014,0.8028169014,0.8028169014,0.8028169014,0.8028169014,0.8309859155,0.8309859155,0.8309859155,0.8309859155,0.8450704225,0.8450704225,0.8450704225,0.8591549296,0.8591549296,0.8732394366,0.8732394366,0.8732394366,0.8873239437,0.8873239437,0.8873239437,0.8873239437,0.9014084507,0.9014084507,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9436619718,0.9436619718,0.9436619718,0.9436619718,0.9436619718,0.9436619718,0.9577464789,0.9718309859,0.9718309859,0.9718309859,0.9718309859,0.9718309859,0.9718309859,0.9718309859,0.985915493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,-1,-0.3286713287,-0.1328671329,-0.06293706294,-0.006993006993,-0.006993006993,0.02097902098,0.03496503497,0.04895104895,0.06293706294,0.07692307692,0.09090909091,0.1048951049,0.1188811189,0.1328671329,0.1608391608,0.1748251748,0.1748251748,0.1888111888,0.1888111888,0.2027972028,0.2167832168,0.2447552448,0.2447552448,0.2447552448,0.2727272727,0.2727272727,0.2867132867,0.2867132867,0.3006993007,0.3286713287,0.3286713287,0.3286713287,0.3426573427,0.3566433566,0.3566433566,0.3846153846,0.3986013986,0.4125874126,0.4125874126,0.4125874126,0.4265734266,0.4265734266,0.4405594406,0.4405594406,0.4545454545,0.4685314685,0.4685314685,0.4685314685,0.4825174825,0.4825174825,0.4825174825,0.4965034965,0.5104895105,0.5244755245,0.5244755245,0.5384615385,0.5384615385,0.5524475524,0.5524475524,0.5524475524,0.5664335664,0.5664335664,0.5804195804,0.5804195804,0.5944055944,0.5944055944,0.5944055944,0.6083916084,0.6083916084,0.6083916084,0.6223776224,0.6363636364,0.6363636364,0.6503496503,0.6503496503,0.6643356643,0.6643356643,0.6643356643,0.6783216783,0.6923076923,0.6923076923,0.6923076923,0.6923076923,0.7202797203,0.7202797203,0.7202797203,0.7202797203,0.7342657343,0.7342657343,0.7342657343,0.7482517483,0.7482517483,0.7622377622,0.7622377622,0.7622377622,0.7762237762,0.7762237762,0.7902097902,0.7902097902,0.8041958042,0.8041958042,0.8041958042,0.8041958042,0.8041958042,0.8321678322,0.8321678322,0.8321678322,0.8321678322,0.8461538462,0.8461538462,0.8461538462,0.8601398601,0.8601398601,0.8741258741,0.8741258741,0.8741258741,0.8881118881,0.8881118881,0.8881118881,0.8881118881,0.9020979021,0.9020979021,0.9160839161,0.9160839161,0.9160839161,0.9160839161,0.9160839161,0.9440559441,0.9440559441,0.9440559441,0.9440559441,0.9440559441,0.9440559441,0.958041958,0.972027972,0.972027972,0.972027972,0.972027972,0.972027972,0.972027972,0.972027972,0.986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
